,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_precision_score,split1_test_precision_score,split2_test_precision_score,split3_test_precision_score,split4_test_precision_score,mean_test_precision_score,std_test_precision_score,rank_test_precision_score,split0_test_recall_score,split1_test_recall_score,split2_test_recall_score,split3_test_recall_score,split4_test_recall_score,mean_test_recall_score,std_test_recall_score,rank_test_recall_score,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score
0,0.2764140605926514,0.031285059517955426,0.01792898178100586,0.002878059413673476,True,3,sqrt,10,0.0,5,2,100,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.7171717171717171,0.6464646464646465,0.6616161616161617,0.6818181818181818,0.6767676767676768,0.6767676767676768,0.023688968483956678,1,0.7171717171717171,0.6464646464646465,0.6616161616161617,0.6818181818181818,0.6767676767676768,0.6767676767676768,0.023688968483956678,1,0.7171717171717171,0.6464646464646465,0.6616161616161617,0.6818181818181818,0.6767676767676768,0.6767676767676768,0.023688968483956678,1,0.7171717171717171,0.6464646464646465,0.6616161616161617,0.6818181818181818,0.6767676767676768,0.6767676767676768,0.023688968483956678,1
1,3.311052083969116,0.9040099650790095,0.10838603973388672,0.028496693391873898,True,3,sqrt,10,0.0,5,2,1050,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 1050}",0.6717171717171717,0.6363636363636364,0.6717171717171717,0.6616161616161617,0.6363636363636364,0.6555555555555556,0.016098361061120437,154,0.6717171717171717,0.6363636363636364,0.6717171717171717,0.6616161616161617,0.6363636363636364,0.6555555555555556,0.016098361061120437,154,0.6717171717171717,0.6363636363636364,0.6717171717171717,0.6616161616161617,0.6363636363636364,0.6555555555555556,0.016098361061120437,154,0.6717171717171717,0.6363636363636364,0.6717171717171717,0.6616161616161617,0.6363636363636364,0.6555555555555556,0.016098361061120437,154
2,7.481136512756348,1.3892202203017283,0.26949281692504884,0.05514520625462812,True,3,sqrt,10,0.0,5,2,2000,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 2000}",0.6717171717171717,0.6464646464646465,0.6717171717171717,0.6666666666666666,0.6414141414141414,0.6595959595959596,0.013014241138106163,102,0.6717171717171717,0.6464646464646465,0.6717171717171717,0.6666666666666666,0.6414141414141414,0.6595959595959596,0.013014241138106163,102,0.6717171717171717,0.6464646464646465,0.6717171717171717,0.6666666666666666,0.6414141414141414,0.6595959595959596,0.013014241138106163,102,0.6717171717171717,0.6464646464646465,0.6717171717171717,0.6666666666666666,0.6414141414141414,0.6595959595959596,0.013014241138106163,102
3,0.23666505813598632,0.0107921457782292,0.014983177185058594,0.000926847839651736,True,3,sqrt,10,0.0,5,3,100,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 100}",0.6767676767676768,0.6515151515151515,0.6666666666666666,0.6515151515151515,0.6313131313131313,0.6555555555555556,0.015451574283614518,154,0.6767676767676768,0.6515151515151515,0.6666666666666666,0.6515151515151515,0.6313131313131313,0.6555555555555556,0.015451574283614518,154,0.6767676767676768,0.6515151515151515,0.6666666666666666,0.6515151515151515,0.6313131313131313,0.6555555555555556,0.015451574283614518,154,0.6767676767676768,0.6515151515151515,0.6666666666666666,0.6515151515151515,0.6313131313131313,0.6555555555555556,0.015451574283614518,154
4,2.7648785591125487,0.6916280878008668,0.09706559181213378,0.027452058989489624,True,3,sqrt,10,0.0,5,3,1050,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 1050}",0.6666666666666666,0.6464646464646465,0.6717171717171717,0.6616161616161617,0.6515151515151515,0.6595959595959596,0.009367291409591604,102,0.6666666666666666,0.6464646464646465,0.6717171717171717,0.6616161616161617,0.6515151515151515,0.6595959595959596,0.009367291409591604,102,0.6666666666666666,0.6464646464646465,0.6717171717171717,0.6616161616161617,0.6515151515151515,0.6595959595959596,0.009367291409591604,102,0.6666666666666666,0.6464646464646465,0.6717171717171717,0.6616161616161617,0.6515151515151515,0.6595959595959596,0.009367291409591604,102
5,5.4345316886901855,1.2113526462904964,0.18915510177612305,0.052050971611287224,True,3,sqrt,10,0.0,5,3,2000,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 2000}",0.6616161616161617,0.6414141414141414,0.6767676767676768,0.6666666666666666,0.6565656565656566,0.6606060606060606,0.011692764548272951,93,0.6616161616161617,0.6414141414141414,0.6767676767676768,0.6666666666666666,0.6565656565656566,0.6606060606060606,0.011692764548272951,93,0.6616161616161617,0.6414141414141414,0.6767676767676768,0.6666666666666666,0.6565656565656566,0.6606060606060606,0.011692764548272951,93,0.6616161616161617,0.6414141414141414,0.6767676767676768,0.6666666666666666,0.6565656565656566,0.6606060606060606,0.011692764548272951,93
6,0.4146907329559326,0.034049052006885856,0.04082441329956055,0.013144504222188472,True,3,sqrt,10,0.0,5,5,100,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6767676767676768,0.6262626262626263,0.6666666666666666,0.6717171717171717,0.6616161616161617,0.6606060606060606,0.0178990355016862,93,0.6767676767676768,0.6262626262626263,0.6666666666666666,0.6717171717171717,0.6616161616161617,0.6606060606060606,0.0178990355016862,93,0.6767676767676768,0.6262626262626263,0.6666666666666666,0.6717171717171717,0.6616161616161617,0.6606060606060606,0.0178990355016862,93,0.6767676767676768,0.6262626262626263,0.6666666666666666,0.6717171717171717,0.6616161616161617,0.6606060606060606,0.0178990355016862,93
7,4.083708190917969,0.05113638927635523,0.1417247772216797,0.008707079703747166,True,3,sqrt,10,0.0,5,5,1050,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 1050}",0.6818181818181818,0.6262626262626263,0.6717171717171717,0.6565656565656566,0.6414141414141414,0.6555555555555556,0.020049932566948668,154,0.6818181818181818,0.6262626262626263,0.6717171717171717,0.6565656565656566,0.6414141414141414,0.6555555555555556,0.020049932566948668,154,0.6818181818181818,0.6262626262626263,0.6717171717171717,0.6565656565656566,0.6414141414141414,0.6555555555555556,0.020049932566948668,154,0.6818181818181818,0.6262626262626263,0.6717171717171717,0.6565656565656566,0.6414141414141414,0.6555555555555556,0.020049932566948668,154
8,5.335148620605469,1.7055182229544672,0.22020621299743653,0.0798851111746685,True,3,sqrt,10,0.0,5,5,2000,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 2000}",0.6767676767676768,0.6414141414141414,0.6666666666666666,0.6717171717171717,0.6414141414141414,0.6595959595959596,0.015185147856942324,102,0.6767676767676768,0.6414141414141414,0.6666666666666666,0.6717171717171717,0.6414141414141414,0.6595959595959596,0.015185147856942324,102,0.6767676767676768,0.6414141414141414,0.6666666666666666,0.6717171717171717,0.6414141414141414,0.6595959595959596,0.015185147856942324,102,0.6767676767676768,0.6414141414141414,0.6666666666666666,0.6717171717171717,0.6414141414141414,0.6595959595959596,0.015185147856942324,102
9,0.36113991737365725,0.015099711506452076,0.015875959396362306,0.0010422272930151002,True,3,sqrt,10,0.0,10,2,100,"{'bootstrap': True, 'max_depth': 3, 'max_features': 'sqrt', 'max_leaf_nodes': 10, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.6717171717171717,0.6262626262626263,0.6717171717171717,0.6616161616161617,0.6414141414141414,0.6545454545454545,0.017955948317809257,172,0.6717171717171717,0.6262626262626263,0.6717171717171717,0.6616161616161617,0.6414141414141414,0.6545454545454545,0.017955948317809257,172,0.6717171717171717,0.6262626262626263,0.6717171717171717,0.6616161616161617,0.6414141414141414,0.6545454545454545,0.017955948317809257,172,0.6717171717171717,0.6262626262626263,0.6717171717171717,0.6616161616161617,0.6414141414141414,0.6545454545454545,0.017955948317809257,172
