,index_x,kmsqId,Operation,VMS_pointCount_PredictedOp,VMSOpTime(min)_PredictedOp,geom,index_y,VMS_pointCount_ObservedOp,VMSOpTime(min)_ObservedOp
0,0.0,29182,TC,4.0,33.64515819750719,"POLYGON ((0.7894369095162985 40.903998696111856, 0.8482064836318534 40.90947063028134, 0.8547705426592691 40.86461624892334, 0.7960420228635695 40.85914885271615, 0.7894369095162985 40.903998696111856))",0.0,4.0,33.64515819750719
1,1.0,29183,TC,2.0,16.822579098753597,"POLYGON ((0.7960420228635695 40.85914885271615, 0.8547705426592691 40.86461624892334, 0.8613217816298779 40.81975915888137, 0.8026342384042199 40.81429629149621, 0.7960420228635695 40.85914885271615))",1.0,2.0,16.822579098753597
2,2.0,29397,TC,5.0,42.05644774688399,"POLYGON ((0.8547705426592691 40.86461624892334, 0.9135080459649605 40.87004881097963, 0.9200182813764636 40.82518721992379, 0.8613217816298779 40.81975915888137, 0.8547705426592691 40.86461624892334))",2.0,5.0,42.05644774688399
3,3.0,29609,F,8.0,67.29031639501439,"POLYGON ((0.9004493146693926 40.95976389954455, 0.9592780422017866 40.965170592440316, 0.9657726093987437 40.920309904064986, 0.9069850683440517 40.914907702438086, 0.9004493146693926 40.95976389954455))",3.0,3.0,25.233868648130397
4,0.0,29609,TC,0.0,0.0,"POLYGON ((0.9004493146693926 40.95976389954455, 0.9592780422017866 40.965170592440316, 0.9657726093987437 40.920309904064986, 0.9069850683440517 40.914907702438086, 0.9004493146693926 40.95976389954455))",4.0,5.0,42.05644774688399
5,4.0,29611,TC,3.0,25.233868648130397,"POLYGON ((0.9135080459649605 40.87004881097963, 0.9722544786833843 40.875446530394754, 0.9787236837030782 40.83058046615998, 0.9200182813764636 40.82518721992379, 0.9135080459649605 40.87004881097963))",5.0,3.0,25.233868648130397
6,5.0,29612,TC,1.0,8.411289549376798,"POLYGON ((0.9200182813764636 40.82518721992379, 0.9787236837030782 40.83058046615998, 0.9851802579812547 40.78571170608204, 0.9265158082982752 40.780322924016126, 0.9200182813764636 40.82518721992379))",6.0,1.0,8.411289549376798
7,6.0,29823,F,3.0,25.233868648130397,"POLYGON ((0.9592780422017866 40.965170592440316, 1.018115698615024 40.97054237837006, 1.0245690524647926 40.92567722669522, 0.9657726093987437 40.920309904064986, 0.9592780422017866 40.965170592440316))",7.0,3.0,25.233868648130397
8,7.0,29823,TC,6.0,50.46773729626079,"POLYGON ((0.9592780422017866 40.965170592440316, 1.018115698615024 40.97054237837006, 1.0245690524647926 40.92567722669522, 0.9657726093987437 40.920309904064986, 0.9592780422017866 40.965170592440316))",8.0,6.0,50.46773729626079
9,8.0,29825,TC,4.0,33.64515819750719,"POLYGON ((0.9722544786833843 40.875446530394754, 1.031009786640641 40.88080939872859, 1.037437934592528 40.835938889176376, 0.9787236837030782 40.83058046615998, 0.9722544786833843 40.875446530394754))",9.0,4.0,33.64515819750719
10,9.0,29826,TC,4.0,33.64515819750719,"POLYGON ((0.9787236837030782 40.83058046615998, 1.037437934592528 40.835938889176376, 1.0438535296471612 40.79106569273603, 0.9851802579812547 40.78571170608204, 0.9787236837030782 40.83058046615998))",10.0,4.0,33.64515819750719
11,10.0,30037,TC,4.0,33.64515819750719,"POLYGON ((1.018115698615024 40.97054237837006, 1.076962229343302 40.97587924889077, 1.083374343134496 40.9310096619124, 1.0245690524647926 40.92567722669522, 1.018115698615024 40.97054237837006))",11.0,4.0,33.64515819750719
12,11.0,30040,TC,5.0,42.05644774688399,"POLYGON ((1.037437934592528 40.835938889176376, 1.0961609799517438 40.84126248060965, 1.1025355693594376 40.796384875641024, 1.0438535296471612 40.79106569273603, 1.037437934592528 40.835938889176376))",12.0,5.0,42.05644774688399
13,12.0,30041,TC,6.0,50.46773729626079,"POLYGON ((1.0438535296471612 40.79106569273603, 1.1025355693594376 40.796384875641024, 1.1088977168171998 40.75150458735027, 1.050256605008528 40.74618980409617, 1.0438535296471612 40.79106569273603))",13.0,6.0,50.46773729626079
14,13.0,30251,TC,1.0,8.411289549376798,"POLYGON ((1.076962229343302 40.97587924889077, 1.1358175797443144 40.98118119561003, 1.1421884269240221 40.93630720135064, 1.083374343134496 40.9310096619124, 1.076962229343302 40.97587924889077))",14.0,1.0,8.411289549376798
15,14.0,30252,TC,1.0,8.411289549376798,"POLYGON ((1.083374343134496 40.9310096619124, 1.1421884269240221 40.93630720135064, 1.1485468111953745 40.89143054864335, 1.0897739155866069 40.88613740759128, 1.083374343134496 40.9310096619124))",15.0,1.0,8.411289549376798
16,15.0,30254,TC,1.0,8.411289549376798,"POLYGON ((1.0961609799517438 40.84126248060965, 1.154892765612192 40.84655123214655, 1.161226323106402 40.80166924651006, 1.1025355693594376 40.796384875641024, 1.0961609799517438 40.84126248060965))",16.0,1.0,8.411289549376798
17,16.0,30255,TC,5.0,42.05644774688399,"POLYGON ((1.1025355693594376 40.796384875641024, 1.161226323106402 40.80166924651006, 1.1675475164886084 40.75678458637501, 1.1088977168171998 40.75150458735027, 1.1025355693594376 40.796384875641024))",17.0,5.0,42.05644774688399
18,17.0,30256,F,2.0,16.822579098753597,"POLYGON ((1.1088977168171998 40.75150458735027, 1.1675475164886084 40.75678458637501, 1.1738563784486333 40.71189724637404, 1.1152474552110836 40.70662161039359, 1.1088977168171998 40.75150458735027))",0.0,0.0,0.0
19,18.0,30256,TC,4.0,33.64515819750719,"POLYGON ((1.1088977168171998 40.75150458735027, 1.1675475164886084 40.75678458637501, 1.1738563784486333 40.71189724637404, 1.1152474552110836 40.70662161039359, 1.1088977168171998 40.75150458735027))",18.0,6.0,50.46773729626079
20,19.0,30466,TC,3.0,25.233868648130397,"POLYGON ((1.1421884269240221 40.93630720135064, 1.2010112492738338 40.94156983669463, 1.2073284190656643 40.896688813595745, 1.1485468111953745 40.89143054864335, 1.1421884269240221 40.93630720135064))",19.0,3.0,25.233868648130397
21,20.0,30469,TC,3.0,25.233868648130397,"POLYGON ((1.161226323106402 40.80166924651006, 1.2199257368016836 40.806918797106256, 1.2262059500930365 40.76202979295951, 1.1675475164886084 40.75678458637501, 1.161226323106402 40.80166924651006))",20.0,3.0,25.233868648130397
22,21.0,30470,F,27.0,227.10481783317354,"POLYGON ((1.1675475164886084 40.75678458637501, 1.2262059500930365 40.76202979295951, 1.232473909697528 40.717138117693096, 1.1738563784486333 40.71189724637404, 1.1675475164886084 40.75678458637501))",21.0,21.0,176.63708053691278
23,22.0,30470,TC,3.0,25.233868648130397,"POLYGON ((1.1675475164886084 40.75678458637501, 1.2262059500930365 40.76202979295951, 1.232473909697528 40.717138117693096, 1.1738563784486333 40.71189724637404, 1.1675475164886084 40.75678458637501))",22.0,9.0,75.70160594439119
24,23.0,30677,F,6.0,50.46773729626079,"POLYGON ((1.1819853015751922 41.07619702976605, 1.2409410022350682 41.08143783267612, 1.2472539471437731 41.03656037353672, 1.1883397235665538 41.03132393942732, 1.1819853015751922 41.07619702976605))",0.0,0.0,0.0
25,24.0,30677,TC,6.0,50.46773729626079,"POLYGON ((1.1819853015751922 41.07619702976605, 1.2409410022350682 41.08143783267612, 1.2472539471437731 41.03656037353672, 1.1883397235665538 41.03132393942732, 1.1819853015751922 41.07619702976605))",23.0,12.0,100.93547459252159
