,index_x,kmsqId,Operation,VMS_pointCount_PredictedOp,VMSOpTime(min)_PredictedOp,geom,index_y,VMS_pointCount_ObservedOp,VMSOpTime(min)_ObservedOp
0,0.0,84236,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.811324176936312 40.869167842811095, 0.8230712180649142 40.870262319548644, 0.824387230182058 40.86129169034939, 0.8126418298183251 40.86019739511191, 0.811324176936312 40.869167842811095)))",0.0,1.0,8.411289549376798
1,1.0,84492,AN,2.0,16.822579098753597,"MULTIPOLYGON (((0.8217546912749538 40.879232840250644, 0.8335037346744371 40.880326104939115, 0.834818619860151 40.871355402886536, 0.8230712180649142 40.870262319548644, 0.8217546912749538 40.879232840250644)))",1.0,2.0,16.822579098753597
2,2.0,84494,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.824387230182058 40.86129169034939, 0.8361329909954066 40.862384592409825, 0.837446848352615 40.85341367346723, 0.8257027278991111 40.85232095261119, 0.824387230182058 40.86129169034939)))",2.0,1.0,8.411289549376798
3,3.0,85007,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.8465663818895705 40.87244709275644, 0.8583145037206107 40.87353738909013, 0.8596255922420258 40.86456621672647, 0.8478791118261672 40.86347610122491, 0.8465663818895705 40.87244709275644)))",3.0,1.0,8.411289549376798
4,4.0,85008,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.8478791118261672 40.86347610122491, 0.8596255922420258 40.86456621672647, 0.8609361682299543 40.85559493604287, 0.849191328606919 40.854505001300524, 0.8478791118261672 40.86347610122491)))",4.0,1.0,8.411289549376798
5,5.0,85262,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.8609361682299543 40.85559493604287, 0.8726813667895202 40.85668347762619, 0.8739897901288118 40.84771190811702, 0.8622462319559823 40.846623546997485, 0.8609361682299543 40.85559493604287)))",5.0,1.0,8.411289549376798
6,6.0,85514,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.8713724318105289 40.86565493884636, 0.8831196300991148 40.866742267516514, 0.8844269238533046 40.85777062598249, 0.8726813667895202 40.85668347762619, 0.8713724318105289 40.86565493884636)))",6.0,1.0,8.411289549376798
7,7.0,86025,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.8974779809078081 40.84988445127499, 0.9092226126494698 40.85096863317773, 0.910525604033264 40.84199641549993, 0.898782612702363 40.840912413320524, 0.8974779809078081 40.84988445127499)))",7.0,1.0,8.411289549376798
8,8.0,86284,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9079191117636328 40.859940742742374, 0.9196657417449275 40.861023711010375, 0.9209676013826941 40.85205142187262, 0.9092226126494698 40.85096863317773, 0.9079191117636328 40.859940742742374)))",8.0,1.0,8.411289549376798
9,9.0,86285,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9092226126494698 40.85096863317773, 0.9209676013826941 40.85205142187262, 0.922268952140932 40.843079024694134, 0.910525604033264 40.84199641549993, 0.9092226126494698 40.85096863317773)))",9.0,1.0,8.411289549376798
10,10.0,86548,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.922268952140932 40.843079024694134, 0.9340126565930594 40.8441602408356, 0.9353118585236292 40.835187556368616, 0.9235697942892632 40.834106519432865, 0.922268952140932 40.843079024694134)))",10.0,1.0,8.411289549376798
11,11.0,87061,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9444586480934875 40.854212819368485, 0.9562047052055705 40.85529142803439, 0.9575011328008309 40.84631849369019, 0.9457567169572072 40.84524006385676, 0.9444586480934875 40.854212819368485)))",11.0,1.0,8.411289549376798
12,12.0,87064,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9483513328582703 40.82729422897623, 0.960092468032632 40.82837230136099, 0.9613873762059327 40.81939904329162, 0.949647880432997 40.81832114952312, 0.9483513328582703 40.82729422897623)))",12.0,1.0,8.411289549376798
13,0.0,87304,AN,0.0,0.0,"MULTIPOLYGON (((0.9406079501581891 40.96295824193586, 0.952374109011962 40.96403760607165, 0.9536749895490412 40.955065783359906, 0.941910479675854 40.95398659870108, 0.9406079501581891 40.96295824193586)))",13.0,4.0,33.64515819750719
14,13.0,87304,C,5.0,42.05644774688399,"MULTIPOLYGON (((0.9406079501581891 40.96295824193586, 0.952374109011962 40.96403760607165, 0.9536749895490412 40.955065783359906, 0.941910479675854 40.95398659870108, 0.9406079501581891 40.96295824193586)))",14.0,1.0,8.411289549376798
15,14.0,87316,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9562047052055705 40.85529142803439, 0.9679511175782517 40.85636864322239, 0.9692459036912543 40.84739553026853, 0.9575011328008309 40.84631849369019, 0.9562047052055705 40.85529142803439)))",15.0,1.0,8.411289549376798
16,15.0,87554,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.952374109011962 40.96403760607165, 0.9641406252679308 40.965115573981144, 0.9654398566090181 40.95614357201634, 0.9536749895490412 40.955065783359906, 0.952374109011962 40.96403760607165)))",16.0,1.0,8.411289549376798
17,16.0,87554,C,5.0,42.05644774688399,"MULTIPOLYGON (((0.952374109011962 40.96403760607165, 0.9641406252679308 40.965115573981144, 0.9654398566090181 40.95614357201634, 0.9536749895490412 40.955065783359906, 0.952374109011962 40.96403760607165)))",17.0,5.0,42.05644774688399
18,17.0,87567,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9692459036912543 40.84739553026853, 0.9809910291956769 40.8484711735245, 0.9822836681162475 40.8394977744616, 0.9705401836846704 40.838422309520496, 0.9692459036912543 40.84739553026853)))",18.0,1.0,8.411289549376798
19,18.0,87801,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9654398566090181 40.95614357201634, 0.9772050804198517 40.95721996460266, 0.9785021542504106 40.9482476764648, 0.9667385792238145 40.94717146283529, 0.9654398566090181 40.95614357201634)))",19.0,1.0,8.411289549376798
20,19.0,87813,AN,2.0,16.822579098753597,"MULTIPOLYGON (((0.9809910291956769 40.8484711735245, 0.9927365088811856 40.8495454233909, 0.994027506515772 40.84057184623596, 0.9822836681162475 40.8394977744616, 0.9809910291956769 40.8484711735245)))",20.0,2.0,16.822579098753597
21,20.0,87817,AN,1.0,8.411289549376798,"MULTIPOLYGON (((0.9861585545757674 40.81257693051681, 0.9978974728529167 40.81365046844579, 0.9991864536668915 40.80467646026619, 0.9874491741863858 40.80360310014223, 0.9861585545757674 40.81257693051681)))",21.0,1.0,8.411289549376798
22,21.0,88048,AN,3.0,25.233868648130397,"MULTIPOLYGON (((0.9772050804198517 40.95721996460266, 0.9889706605454718 40.95829496105123, 0.9902660853770441 40.94932249418046, 0.9785021542504106 40.9482476764648, 0.9772050804198517 40.95721996460266)))",22.0,3.0,25.233868648130397
23,22.0,88313,AN,1.0,8.411289549376798,"MULTIPOLYGON (((1.0057716984504468 40.84164452477652, 1.0175162434873604 40.842715810016266, 1.0188034545516644 40.83374176979656, 1.0070605506031574 40.832670662131456, 1.0057716984504468 40.84164452477652)))",23.0,1.0,8.411289549376798
24,23.0,88317,AN,2.0,16.822579098753597,"MULTIPOLYGON (((1.010924085832519 40.805748428046925, 1.0226620702513505 40.80681900341758, 1.023947270541225 40.797844532576576, 1.0122109247214897 40.79677413449436, 1.010924085832519 40.805748428046925)))",24.0,2.0,16.822579098753597
25,24.0,88551,AN,2.0,16.822579098753597,"MULTIPOLYGON (((1.0020303721677895 40.950395915914775, 1.0137950141865815 40.95146794160033, 1.0150866344281972 40.94249501096588, 1.0033236412100668 40.941423163493305, 1.0020303721677895 40.950395915914775)))",25.0,2.0,16.822579098753597
26,25.0,88564,AN,1.0,8.411289549376798,"MULTIPOLYGON (((1.0188034545516644 40.83374176979656, 1.0305467109571458 40.8348114843168, 1.0318317782505806 40.82583715922514, 1.0200901625227865 40.82476762198516, 1.0188034545516644 40.83374176979656)))",26.0,1.0,8.411289549376798
27,26.0,88812,AN,1.0,8.411289549376798,"MULTIPOLYGON (((1.0305467109571458 40.8348114843168, 1.042290319386699 40.83587980562537, 1.043573745790609 40.826905303476266, 1.0318317782505806 40.82583715922514, 1.0305467109571458 40.8348114843168)))",27.0,1.0,8.411289549376798
28,27.0,88818,AN,2.0,16.822579098753597,"MULTIPOLYGON (((1.0382495869744242 40.780963919478005, 1.0499833594024177 40.78203117951208, 1.0512637803003113 40.773056031777855, 1.039531645029805 40.771988948373455, 1.0382495869744242 40.780963919478005)))",28.0,2.0,16.822579098753597
29,28.0,89048,AN,2.0,16.822579098753597,"MULTIPOLYGON (((1.025560010997247 40.95253857116976, 1.0373253621634837 40.953607804555816, 1.0386136841625333 40.94463451816729, 1.026849982224369 40.94356546254628, 1.025560010997247 40.95253857116976)))",29.0,2.0,16.822579098753597
30,29.0,89063,AN,1.0,8.411289549376798,"MULTIPOLYGON (((1.0448566706132787 40.81793069383591, 1.0565973490546163 40.818997268268255, 1.0578781327062037 40.810022374402166, 1.0461390941204007 40.80895597666184, 1.0448566706132787 40.81793069383591)))",30.0,1.0,8.411289549376798
31,30.0,89066,AN,1.0,8.411289549376798,"MULTIPOLYGON (((1.0487024382497692 40.791006219542446, 1.060438198991139 40.792072264112406, 1.061717482154254 40.78309704760361, 1.0499833594024177 40.78203117951208, 1.0487024382497692 40.791006219542446)))",31.0,1.0,8.411289549376798
32,31.0,89533,AN,2.0,16.822579098753597,"MULTIPOLYGON (((1.0503777398065182 40.94570217776175, 1.0621421487200324 40.94676844126263, 1.0634266684517224 40.93779469329116, 1.0516639085653237 40.93672860703561, 1.0503777398065182 40.94570217776175)))",32.0,2.0,16.822579098753597
33,32.0,89546,AN,1.0,8.411289549376798,"MULTIPOLYGON (((1.067058734576177 40.82903741274539, 1.0788017549558107 40.830101377630285, 1.0800797577107157 40.8211262383686, 1.0683383782313463 40.82006244980131, 1.067058734576177 40.82903741274539)))",33.0,1.0,8.411289549376798
