Code,Date,Latitude,Longitude,geom,Speed,Course,CourseCorrected,TrackCode,Effort,Fishing,GearMainCode,LOA_m,Operation,IniDate,EndDate,DayTime,DayTime2
vess6,2023-02-14 11:20:00+01:00,41.215620043657694,1.7345959504714918,POINT (1.7345959504714918 41.215620043657694),0.001655663699655821,216.19512174717076,323.8048782528292,vess6_2023-02-14,False,False,PS,24.5,,,,11.333333333333334,23.333333333333336
vess6,2023-02-14 11:30:00+01:00,41.21562407808956,1.7345919212987964,POINT (1.7345919212987964 41.21562407808956),0.001909084330803362,216.18274975267673,323.8172502473233,vess6_2023-02-14,False,False,PS,24.5,,,,11.5,23.5
vess6,2023-02-14 11:40:00+01:00,41.21562820597595,1.7345877990800544,POINT (1.7345877990800544 41.21562820597595),0.0017397765572079703,216.1906157421113,323.8093842578887,vess6_2023-02-14,False,False,PS,24.5,,,,11.666666666666666,23.666666666666664
vess6,2023-02-14 11:50:00+01:00,41.21563148796104,1.734584519058609,POINT (1.734584519058609 41.21563148796104),0.0011477407932249909,216.23636732774145,323.76363267225855,vess6_2023-02-14,False,False,PS,24.5,,,,11.833333333333334,23.833333333333336
vess6,2023-02-14 12:00:00+01:00,41.215632984688995,1.7345830164781393,POINT (1.7345830164781393 41.215632984688995),0.00013299918588248558,217.26223368759804,322.73776631240196,vess6_2023-02-14,False,False,PS,24.5,,,,12.0,24.0
vess6,2023-02-14 12:01:00+01:00,41.21563299999999,1.7345830000000002,POINT (1.7345830000000002 41.21563299999999),0.0,109.0,109.0,vess6_2023-02-14,False,False,PS,24.5,,,,12.016666666666667,0.016666666666667496
vess6,2023-02-14 12:10:00+01:00,41.21563404203765,1.7345849921197254,POINT (1.7345849921197254 41.21563404203765),0.001383363303245397,56.44586498096146,56.44586498096146,vess6_2023-02-14,False,False,PS,24.5,,,,12.166666666666666,0.16666666666666607
vess6,2023-02-14 12:20:00+01:00,41.21563704366005,1.7345908222144837,POINT (1.7345908222144837 41.21563704366005),0.002349196920839963,56.594806429501034,56.594806429501034,vess6_2023-02-14,False,False,PS,24.5,,,,12.333333333333334,0.3333333333333339
vess6,2023-02-14 12:30:00+01:00,41.21564107809241,1.7345986781544047,POINT (1.7345986781544047 41.21564107809241),0.002711193230917238,56.623289737146365,56.623289737146365,vess6_2023-02-14,False,False,PS,24.5,,,,12.5,0.5
vess6,2023-02-14 12:40:00+01:00,41.215645205978504,1.7346067174047126,POINT (1.7346067174047126 41.215645205978504),0.0024693465953667744,56.60518620242419,56.60518620242419,vess6_2023-02-14,False,False,PS,24.5,,,,12.666666666666666,0.6666666666666661
vess6,2023-02-14 12:50:00+01:00,41.21564848796254,1.7346130974297764,POINT (1.7346130974297764 41.21564848796254),0.0016236601445960527,56.49948012478745,56.49948012478745,vess6_2023-02-14,False,False,PS,24.5,,,,12.833333333333334,0.8333333333333339
vess6,2023-02-14 13:00:00+01:00,41.21564998468912,1.7346159756933044,POINT (1.7346159756933044 41.21564998468912),0.00017431514342150067,53.93198885049134,53.93198885049134,vess6_2023-02-14,False,False,PS,24.5,,,,13.0,1.0
vess6,2023-06-06 14:58:00+02:00,41.2141,1.7343500000000005,POINT (1.7343500000000005 41.2141),0.0,9.0,9.0,vess6_2023-06-07,False,False,PS,24.5,,,,14.966666666666667,2.966666666666667
vess6,2023-06-06 15:00:00+02:00,41.21409994730416,1.734350004298256,POINT (1.734350004298256 41.21409994730416),0.0001927745808106143,179.284916486445,179.284916486445,vess6_2023-06-07,False,False,PS,24.5,,,,15.0,3.0
vess6,2023-06-06 15:10:00+02:00,41.214098240381354,1.7343500137041887,POINT (1.7343500137041887 41.214098240381354),0.000978337244451128,359.18109467402724,180.81890532597276,vess6_2023-06-07,False,False,PS,24.5,,,,15.166666666666666,3.166666666666666
vess6,2023-06-06 15:20:00+02:00,41.214094824216836,1.7343500088373496,POINT (1.7343500088373496 41.214094824216836),0.0014223526473455908,359.0636078427767,180.9363921572233,vess6_2023-06-07,False,False,PS,24.5,,,,15.333333333333334,3.333333333333334
vess6,2023-06-06 15:30:00+02:00,41.214090648532505,1.7343499976282493,POINT (1.7343499976282493 41.214090648532505),0.001524746958723225,359.04622362284607,180.95377637715393,vess6_2023-06-07,False,False,PS,24.5,,,,15.5,3.5
vess6,2023-06-06 15:40:00+02:00,41.21408666305035,1.734349988007398,POINT (1.734349988007398 41.21408666305035),0.0012855180579307692,359.09116253843456,180.90883746156544,vess6_2023-06-07,False,False,PS,24.5,,,,15.666666666666666,3.666666666666666
vess6,2023-06-06 15:50:00+02:00,41.21408381749231,1.7343499879053124,POINT (1.7343499879053124 41.21408381749231),0.00070467317095611,359.32725692106726,180.67274307893274,vess6_2023-06-07,False,False,PS,24.5,,,,15.833333333333334,3.833333333333334
vess6,2023-06-06 16:00:00+02:00,41.2140829473039,1.734350004298264,POINT (1.734350004298264 41.2140829473039),0.0001927750473001497,179.2849208249878,179.2849208249878,vess6_2023-06-07,False,False,PS,24.5,,,,16.0,4.0
vess6,2023-06-06 16:10:00+02:00,41.21408124038004,1.734350013704186,POINT (1.734350013704186 41.21408124038004),0.0009783375372914539,359.18109483956044,180.81890516043956,vess6_2023-06-07,False,False,PS,24.5,,,,16.166666666666668,4.166666666666668
vess6,2023-06-06 16:20:00+02:00,41.21407782421492,1.7343500088373438,POINT (1.7343500088373438 41.21407782421492),0.0014223527707528,359.0636081001924,180.9363918998076,vess6_2023-06-07,False,False,PS,24.5,,,,16.333333333333332,4.333333333333332
vess6,2023-06-06 16:30:00+02:00,41.21407364853047,1.7343499976282433,POINT (1.7343499976282433 41.21407364853047),0.0015247469161759467,359.04622391097877,180.95377608902123,vess6_2023-06-07,False,False,PS,24.5,,,,16.5,4.5
vess6,2023-06-06 16:40:00+02:00,41.21406966304864,1.7343499880073971,POINT (1.7343499880073971 41.21406966304864),0.0012855178529131996,359.09116286400405,180.90883713599595,vess6_2023-06-07,False,False,PS,24.5,,,,16.666666666666668,4.666666666666668
vess6,2023-06-06 16:50:00+02:00,41.21406681749139,1.7343499879053186,POINT (1.7343499879053186 41.21406681749139),0.0007046728076968396,359.3272574717585,180.6727425282415,vess6_2023-06-07,False,False,PS,24.5,,,,16.833333333333332,4.833333333333332
vess6,2023-06-06 16:57:59+02:00,41.214066,1.7343500000000003,POINT (1.7343500000000003 41.214066),0.0,9.0,9.0,vess6_2023-06-07,False,False,PS,24.5,,,,16.96638888888889,4.96638888888889
vess6,2023-06-06 17:00:00+02:00,41.21406611397342,1.7343500042982716,POINT (1.7343500042982716 41.21406611397342),0.00039922115884628926,1.581918938697072,1.581918938697072,vess6_2023-06-07,False,False,PS,24.5,,,,17.0,5.0
vess6,2023-06-06 17:10:00+02:00,41.21406954660043,1.734350013704199,POINT (1.734350013704199 41.21406954660043),0.0019573561958881915,0.84151767227155,0.84151767227155,vess6_2023-06-07,False,False,PS,24.5,,,,17.166666666666668,5.166666666666668
vess6,2023-06-06 17:20:00+02:00,41.21407636921608,1.7343500088373731,POINT (1.7343500088373731 41.21407636921608),0.002837981313912395,0.7826556597350418,0.7826556597350418,vess6_2023-06-07,False,False,PS,24.5,,,,17.333333333333332,5.333333333333332
vess6,2023-06-06 17:30:00+02:00,41.21408469820834,1.7343499976282786,POINT (1.7343499976282786 41.21408469820834),0.0030410608059592125,0.7739188232586685,0.7739188232586685,vess6_2023-06-07,False,False,PS,24.5,,,,17.5,5.5
vess6,2023-06-06 17:40:00+02:00,41.21409264996508,1.7343499880074187,POINT (1.7343499880074187 41.21409264996508),0.0025665936063864613,0.7964896198533324,0.7964896198533324,vess6_2023-06-07,False,False,PS,24.5,,,,17.666666666666668,5.666666666666668
vess6,2023-06-06 17:50:00+02:00,41.214098340874294,1.7343499879053246,POINT (1.7343499879053246 41.214098340874294),0.001414583330858605,0.9143031694488855,0.9143031694488855,vess6_2023-06-07,False,False,PS,24.5,,,,17.833333333333332,5.833333333333332
vess6,2023-06-06 17:58:00+02:00,41.2141,1.7343500000000005,POINT (1.7343500000000005 41.2141),0.0,9.0,9.0,vess6_2023-06-07,False,False,PS,24.5,,,,17.966666666666665,5.966666666666665
vess6,2023-06-06 18:57:59+02:00,41.2141,1.7343500000000005,POINT (1.7343500000000005 41.2141),0.0,9.0,9.0,vess6_2023-06-07,False,False,PS,24.5,,,,18.96638888888889,6.96638888888889
vess6,2023-06-06 19:00:00+02:00,41.21410000286026,1.734349948741173,POINT (1.734349948741173 41.21410000286026),0.00014384630415238177,267.33651383726584,272.66348616273416,vess6_2023-06-07,False,False,PS,24.5,,,,19.0,7.0
vess6,2023-06-06 19:10:00+02:00,41.21410000911942,1.7343482449609993,POINT (1.7343482449609993 41.21410000911942),0.0007386784713903422,269.14841583857594,270.85158416142406,vess6_2023-06-07,False,False,PS,24.5,,,,19.166666666666668,7.166666666666668
vess6,2023-06-06 19:20:00+02:00,41.21410000588097,1.734344827165825,POINT (1.734344827165825 41.21410000588097),0.0010749009376961813,269.2854310545838,270.7145689454162,vess6_2023-06-07,False,False,PS,24.5,,,,19.333333333333332,7.333333333333332
vess6,2023-06-06 19:30:00+02:00,41.21409999842203,1.7343406477308365,POINT (1.7343406477308365 41.21409999842203),0.00115243690316156,269.3056836178698,270.6943163821302,vess6_2023-06-07,False,False,PS,24.5,,,,19.5,7.5
vess6,2023-06-06 19:40:00+02:00,41.21409999201985,1.73433665903122,POINT (1.73433665903122 41.21409999201985),0.0009712841921189047,269.2533182153379,270.7466817846621,vess6_2023-06-07,False,False,PS,24.5,,,,19.666666666666668,7.666666666666668
vess6,2023-06-06 19:50:00+02:00,41.2140999919518,1.7343338134421526,POINT (1.7343338134421526 41.2140999919518),0.0005314502325720241,268.9776087223389,271.0223912776611,vess6_2023-06-07,False,False,PS,24.5,,,,19.833333333333332,7.833333333333332
vess6,2023-06-06 20:00:00+02:00,41.21409994730288,1.7343330042983,POINT (1.7343330042983 41.21409994730288),0.00019277687843942813,179.2849507343426,179.2849507343426,vess6_2023-06-07,False,False,PS,24.5,,,,20.0,8.0
vess6,2023-06-06 20:10:00+02:00,41.21409824037483,1.7343330137041875,POINT (1.7343330137041875 41.21409824037483),0.000978338721933805,359.1810829003838,180.8189170996162,vess6_2023-06-07,False,False,PS,24.5,,,,20.166666666666668,8.166666666666668
vess6,2023-06-06 20:20:00+02:00,41.214094824207336,1.7343330088373263,POINT (1.7343330088373263 41.214094824207336),0.0014223533043293322,359.06359653748825,180.93640346251175,vess6_2023-06-07,False,False,PS,24.5,,,,20.333333333333332,8.333333333333332
vess6,2023-06-06 20:30:00+02:00,41.214090648522344,1.734332997628221,POINT (1.734332997628221 41.214090648522344),0.0015247467957760874,359.04621246803464,180.95378753196536,vess6_2023-06-07,False,False,PS,24.5,,,,20.5,8.5
vess6,2023-06-06 20:40:00+02:00,41.21408666304178,1.734332988007386,POINT (1.734332988007386 41.21408666304178),0.0012855170771167428,359.091151567709,180.908848432291,vess6_2023-06-07,False,False,PS,24.5,,,,20.666666666666668,8.666666666666668
vess6,2023-06-06 20:50:00+02:00,41.21408381748764,1.7343329879053324,POINT (1.7343329879053324 41.21408381748764),0.0007046713729130116,359.3272470258791,180.6727529741209,vess6_2023-06-07,False,False,PS,24.5,,,,20.833333333333332,8.833333333333332
vess6,2023-06-06 20:58:00+02:00,41.214083,1.7343330000000001,POINT (1.7343330000000001 41.214083),0.0,255.0,255.0,vess6_2023-06-07,False,False,PS,24.5,,,,20.966666666666665,8.966666666666665
