,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_max_leaf_nodes,param_max_samples,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_precision_score,split1_test_precision_score,split2_test_precision_score,split3_test_precision_score,split4_test_precision_score,mean_test_precision_score,std_test_precision_score,rank_test_precision_score,split0_test_recall_score,split1_test_recall_score,split2_test_recall_score,split3_test_recall_score,split4_test_recall_score,mean_test_recall_score,std_test_recall_score,rank_test_recall_score,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score
0,0.24378089904785155,0.02754505193458494,0.03383302688598633,0.008841308978239782,True,6,log2,2,0.25,0,1,2,100,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6262626262626263,0.6212121212121212,0.5858585858585859,0.5555555555555556,0.5606060606060606,0.5898989898989899,0.029518463022631242,2257,0.6262626262626263,0.6212121212121212,0.5858585858585859,0.5555555555555556,0.5606060606060606,0.5898989898989899,0.029518463022631242,2257,0.6262626262626263,0.6212121212121212,0.5858585858585859,0.5555555555555556,0.5606060606060606,0.5898989898989899,0.029518463022631242,2257,0.6262626262626263,0.6212121212121212,0.5858585858585859,0.5555555555555556,0.5606060606060606,0.5898989898989899,0.029518463022631242,2257
1,2.4446182250976562,0.03619781929385712,0.1485156536102295,0.014185078971412343,True,6,log2,2,0.25,0,1,2,550,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 550}",0.6111111111111112,0.5959595959595959,0.5858585858585859,0.6161616161616161,0.5858585858585859,0.598989898989899,0.012616157572522022,2098,0.6111111111111112,0.5959595959595959,0.5858585858585859,0.6161616161616161,0.5858585858585859,0.598989898989899,0.012616157572522022,2098,0.6111111111111112,0.5959595959595959,0.5858585858585859,0.6161616161616161,0.5858585858585859,0.598989898989899,0.012616157572522022,2098,0.6111111111111112,0.5959595959595959,0.5858585858585859,0.6161616161616161,0.5858585858585859,0.598989898989899,0.012616157572522022,2098
2,3.1184079170227053,1.0886565918673647,0.14865694046020508,0.10103758754438398,True,6,log2,2,0.25,0,1,2,1000,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 1000}",0.6313131313131313,0.5909090909090909,0.6262626262626263,0.5909090909090909,0.5808080808080808,0.604040404040404,0.02060209904481933,1996,0.6313131313131313,0.5909090909090909,0.6262626262626263,0.5909090909090909,0.5808080808080808,0.604040404040404,0.02060209904481933,1996,0.6313131313131313,0.5909090909090909,0.6262626262626263,0.5909090909090909,0.5808080808080808,0.604040404040404,0.02060209904481933,1996,0.6313131313131313,0.5909090909090909,0.6262626262626263,0.5909090909090909,0.5808080808080808,0.604040404040404,0.02060209904481933,1996
3,0.4254974365234375,0.05587512127420447,0.10158233642578125,0.019822463590781634,True,6,log2,2,0.25,0,1,3,100,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 100}",0.6515151515151515,0.5909090909090909,0.6111111111111112,0.6111111111111112,0.5757575757575758,0.608080808080808,0.025473778207916128,1952,0.6515151515151515,0.5909090909090909,0.6111111111111112,0.6111111111111112,0.5757575757575758,0.608080808080808,0.025473778207916128,1952,0.6515151515151515,0.5909090909090909,0.6111111111111112,0.6111111111111112,0.5757575757575758,0.608080808080808,0.025473778207916128,1952,0.6515151515151515,0.5909090909090909,0.6111111111111112,0.6111111111111112,0.5757575757575758,0.608080808080808,0.025473778207916128,1952
4,1.7110384464263917,0.46112414289047077,0.11358733177185058,0.05722305772073685,True,6,log2,2,0.25,0,1,3,550,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 550}",0.6262626262626263,0.5959595959595959,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.6101010101010101,0.009793292641245135,1939,0.6262626262626263,0.5959595959595959,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.6101010101010101,0.009793292641245135,1939,0.6262626262626263,0.5959595959595959,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.6101010101010101,0.009793292641245135,1939,0.6262626262626263,0.5959595959595959,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.6101010101010101,0.009793292641245135,1939
5,5.843931865692139,1.5336671630845307,0.26950597763061523,0.12042034121002478,True,6,log2,2,0.25,0,1,3,1000,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 1000}",0.6161616161616161,0.5959595959595959,0.601010101010101,0.601010101010101,0.5808080808080808,0.598989898989899,0.011338355717496796,2098,0.6161616161616161,0.5959595959595959,0.601010101010101,0.601010101010101,0.5808080808080808,0.598989898989899,0.011338355717496796,2098,0.6161616161616161,0.5959595959595959,0.601010101010101,0.601010101010101,0.5808080808080808,0.598989898989899,0.011338355717496796,2098,0.6161616161616161,0.5959595959595959,0.601010101010101,0.601010101010101,0.5808080808080808,0.598989898989899,0.011338355717496796,2098
6,0.279146146774292,0.0203781977078762,0.04359002113342285,0.012022882985106764,True,6,log2,2,0.25,0,1,4,100,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.6363636363636364,0.5858585858585859,0.6060606060606061,0.5959595959595959,0.6060606060606061,0.6060606060606061,0.016902222758264154,1970,0.6363636363636364,0.5858585858585859,0.6060606060606061,0.5959595959595959,0.6060606060606061,0.6060606060606061,0.016902222758264154,1970,0.6363636363636364,0.5858585858585859,0.6060606060606061,0.5959595959595959,0.6060606060606061,0.6060606060606061,0.016902222758264154,1970,0.6363636363636364,0.5858585858585859,0.6060606060606061,0.5959595959595959,0.6060606060606061,0.6060606060606061,0.016902222758264154,1970
7,2.371176242828369,1.0443236665362352,0.15889992713928222,0.08261587707707763,True,6,log2,2,0.25,0,1,4,550,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 550}",0.6212121212121212,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.5808080808080808,0.6060606060606062,0.013551927136362383,1969,0.6212121212121212,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.5808080808080808,0.6060606060606062,0.013551927136362383,1969,0.6212121212121212,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.5808080808080808,0.6060606060606062,0.013551927136362383,1969,0.6212121212121212,0.6060606060606061,0.6111111111111112,0.6111111111111112,0.5808080808080808,0.6060606060606062,0.013551927136362383,1969
8,3.0483758449554443,1.1054931331838898,0.14857954978942872,0.0626602279479132,True,6,log2,2,0.25,0,1,4,1000,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 1000}",0.6111111111111112,0.6060606060606061,0.6111111111111112,0.601010101010101,0.5909090909090909,0.6040404040404039,0.007558903811664538,2011,0.6111111111111112,0.6060606060606061,0.6111111111111112,0.601010101010101,0.5909090909090909,0.6040404040404039,0.007558903811664538,2011,0.6111111111111112,0.6060606060606061,0.6111111111111112,0.601010101010101,0.5909090909090909,0.6040404040404039,0.007558903811664538,2011,0.6111111111111112,0.6060606060606061,0.6111111111111112,0.601010101010101,0.5909090909090909,0.6040404040404039,0.007558903811664538,2011
9,0.3731837272644043,0.16179826860866692,0.0625544548034668,0.03182172836989081,True,6,log2,2,0.25,0,1,5,100,"{'bootstrap': True, 'max_depth': 6, 'max_features': 'log2', 'max_leaf_nodes': 2, 'max_samples': 0.25, 'min_impurity_decrease': 0, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6212121212121212,0.5858585858585859,0.6161616161616161,0.6161616161616161,0.5909090909090909,0.6060606060606061,0.014637754289080228,1970,0.6212121212121212,0.5858585858585859,0.6161616161616161,0.6161616161616161,0.5909090909090909,0.6060606060606061,0.014637754289080228,1970,0.6212121212121212,0.5858585858585859,0.6161616161616161,0.6161616161616161,0.5909090909090909,0.6060606060606061,0.014637754289080228,1970,0.6212121212121212,0.5858585858585859,0.6161616161616161,0.6161616161616161,0.5909090909090909,0.6060606060606061,0.014637754289080228,1970
